age,nationality,name_email,zip_code,zip_short,occupation,product_type,industry,income_source,income_range,funds_origin,second_nationality,purpose_of_account,email_domain,pep,phone_country_unsupported,tnc_country,birth_country,tnc_like_birth,care_of_address,phone_country,phone_tnc_country,ip_tnc_country,nat_tnc_country,su_kyci_day,device_token_no,address,is_fraudster
age_32_38,EST,true,10315,10,,STANDARD,,,,,,,@gmail.com,False,False,EST       ,,true,False,EST,True,True,True,0-2,,Tallinn,true
age_25_31,FRA,true,10000,10,PENSIONER,,,GOVERNMENT_PAYMENTS,,,,PERSONAL_PROJECTS,@yahoo.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Troyes,true
age_46_52,ITA,false,80056,80,ITA_EMPLOYEE_PUBLIC_SECTOR,,,SALARY,,,,,@gmail.com,False,False,ITA       ,ITA,true,False,ITA,True,NULL,True,12+,,Ercolano (NA),true
age_>60,BEL,false,1030,10,FREELANCER,STANDARD,EDUCATION_AND_SCIENCE,EMPLOYMENT,,,,,@fastmail.fm,False,False,BEL       ,GTM,false,False,FRA,False,False,True,0-2,2,Brussels,true
age_18_24,ZAF,false,D22X0Y0,D2,,STANDARD,,,,,,,@outlook.ie,False,False,IRL       ,ZAF,false,False,IRL,True,True,False,0-2,1,Dublin 22,true
age_18_24,FRA,true,93000,93,FREELANCER,,HOSPITALITY,,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Bobigny,true
age_25_31,ITA,false,20152,20,,,,,,,,,@hotmail.com,False,True,ITA       ,PER,false,False,ITA,True,True,True,0-2,,Milano,true
age_25_31,HRV,false,11317,11,,METAL_CARD_MONTHLY,,,,,,,@protonmail.com,False,True,EST       ,HRV,false,False,USA,False,False,False,0-2,4+,Tallinn,true
age_18_24,ITA,true,84012,84,ITA_STUDENT,STANDARD,,FAMILY,,,,,@libero.it,False,False,ITA       ,ITA,true,False,ITA,True,True,True,0-2,,Angri,true
age_18_24,NLD,true,8602xb,86,,,,,,,,,@gmail.com,False,True,NLD       ,NLD,true,False,NLD,True,True,True,0-2,,sneek,true
age_32_38,ITA,false,95200,95,FREELANCER,,ENERGY_UTILITIES_AND_TELECOMMUNICATION,PENSION,,,,,@yahoo.com,False,True,FRA       ,PAK,false,False,FRA,True,True,False,0-2,3,Sarcelles,true
age_18_24,FRA,true,95200,95,FREELANCER,,TRAVEL_AGENCIES_AND_REAL_ESTATE_AGENTS,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,2,Sarcelles,true
age_18_24,FRA,true,95130,95,FREELANCER,BUSINESS_CARD,OTHER_MANUFACTURING_INDUSTRY,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Franconville,true
age_25_31,CIV,false,08250,08,,,,,,,,,@gmail.com,False,True,FRA       ,CIV,false,True,FRA,True,NULL,False,12+,,Saint juvin,true
age_>60,DEU,false,61-850,61,FREELANCER,,,PENSION,,,,SALARY_OR_PENSION,@gmail.com,False,False,POL       ,POL,true,False,POL,True,True,False,0-2,3,Poznan,true
age_46_52,ITA,true,07021,07,FREELANCER,BUSINESS_CARD,RETAIL_TRADE,,,,,,@tim.it,False,False,ITA       ,,true,False,ITA,True,True,True,0-2,,Arzachena,true
age_39_45,FRA,false,01200,01,EMPLOYEE,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Billiat,true
age_39_45,BRA,false,95190,95,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,False,0-2,,Goussainville,true
age_39_45,ITA,false,22100,22,ITA_ENTREPRENEUR,,,SALARY,,,,,@gmail.com,False,True,ITA       ,ITA,true,False,ITA,True,True,True,0-2,1,Como,true
age_25_31,NLD,true,1316 GZ,13,,METAL_CARD_MONTHLY,ENERGY_UTILITIES_AND_TELECOMMUNICATION,EMPLOYMENT,,,,,@gmail.com,False,False,NLD       ,SUR,false,False,NLD,True,True,True,3-5,4+,Almere,true
