age,nationality,zip_code,zip_short,occupation,product_type,industry,income_source,income_range,funds_origin,second_nationality,purpose_of_account,email_domain,pep,phone_country_unsupported,tnc_country,birth_country,tnc_like_birth,care_of_address,phone_country,phone_tnc_country,ip_tnc_country,nat_tnc_country,su_kyci_day,device_token_no,address,is_fraudster
age_46_52,DEU,06526,06,,FLEX_ACCOUNT_MONTHLY,,,,,,,@t-online.de,False,False,DEU       ,,true,False,DEU,True,True,True,0-2,,Sangerhausen,true
age_32_38,FRA,75018,75,EMPLOYEE,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,,NULL,True,True,3-5,,Paris,true
age_18_24,UKR,18007,18,STUDENT,SMART,,FAMILY_INCOME,,,,,@outlook.com,False,True,ESP       ,UKR,false,False,GBR,False,True,False,0-2,2,Granada,true
age_18_24,NLD,3703HC,37,,STANDARD,,,,,,,@icloud.com,False,False,NLD       ,NLD,true,False,NLD,True,True,True,0-2,,Zeist,true
age_39_45,FRA,59650,59,,METAL_CARD_MONTHLY,,,,,,,@icloud.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Hauts-de-France,true
age_25_31,ITA,20023,20,FREELANCER,,OTHER_SERVICE_ACTIVITIES,,,,,,@icloud.com,False,True,ITA       ,,true,False,ITA,True,True,True,0-2,,Concordia,true
age_25_31,BEL,74100,74,,,AGRICULTURE_AND_FORESTRY,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,DZA,false,False,FRA,True,False,False,0-2,2,Annemasse,true
age_46_52,FRA,75012,75,,METAL_CARD_MONTHLY,,,,,,,@yahoo.fr,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Paris,true
age_25_31,DEU,02730,02,,,,,,,,,@gmx.de,False,True,DEU       ,,true,False,DEU,True,NULL,True,0-2,,Ebersbach,true
age_18_24,FRA,75018,75,FREELANCER,BUSINESS_BLACK,CONSTRUCTION,,,,,,@gmail.com,False,False,FRA       ,FRA,true,False,FRA,True,True,True,0-2,,Paris,true
age_39_45,ITA,80137,80,ITA_SELF_EMPLOYED,,,SALARY,,,,,@outlook.it,False,True,ITA       ,ITA,true,False,ITA,True,True,True,0-2,2,NAPOLI,true
age_39_45,GBR,B388hg,B3,,STANDARD,,,,,,,@msn.com,False,True,GBR       ,,true,False,GBR,True,True,True,0-2,,Birmingham,true
age_32_38,UKR,10313,10,,STANDARD,,,,,,,@protonmail.com,False,False,EST       ,,true,False,UKR,False,NULL,False,0-2,,Tallinn,true
age_53_59,ITA,20070,20,,STANDARD,,,,,,,@libero.it,False,False,ITA       ,ITA,true,False,ITA,True,True,True,0-2,,Dresano,true
age_32_38,BIH,56300,56,FREELANCER,BUSINESS_CARD,VEHICLE_TRADE_AND_SERVICES,EMPLOYMENT,,,,,@msn.com,False,False,DEU       ,BIH,false,False,CHE,False,False,False,0-2,3,Muri,true
age_25_31,NOR,75018,75,FREELANCER,,MEDIA_TECHNOLOGY_AND_CONSULTING,SALARY,BETWEEN_5001_AND_10000_EURO,NORTH_AMERICA,,FREELANCER_ACTIVITY,@milatayloryoung.com,False,True,FRA       ,ITA,false,False,FRA,True,False,False,0-2,2,Paris,true
age_25_31,LVA,28004,28,,,CONSTRUCTION,GRANTS,,,,,@gmail.com,False,True,ESP       ,LVA,false,False,GBR,False,False,False,0-2,1,Madrid,true
age_25_31,PYF,89330,89,UNEMPLOYED,,,GOVERNMENT_PAYMENTS,,,,,@outlook.com,False,True,FRA       ,FRA,true,False,FRA,True,NULL,False,12+,,Saint-Julien-du-Sault,true
age_>60,FRA,59880,59,,,,,,,,,@gmail.com,False,True,FRA       ,,true,False,FRA,True,True,True,12+,,Saint saulve,true
age_25_31,FRA,10100,10,EMPLOYEE,BLACK_CARD_MONTHLY,,,,,,,@outlook.fr_TEMP6412,False,False,FRA       ,,true,False,,NULL,True,True,12+,,Romilly sur seine,true
age_25_31,ITA,00012,00,,,,,,,,,@gmail.com,False,True,ITA       ,,true,False,ITA,True,True,True,0-2,,Villanova,true
age_25_31,FRA,93240,93,,,LOGISTICS_WHOLESALE_AND_RETAIL,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,True,0-2,1,Saint Denis,true
age_46_52,ITA,33043,33,ITA_EMPLOYEE_PRIVATE_SECTOR,,,SALARY,,,,,@gmail.com,False,True,ITA       ,MAR,false,False,ITA,True,True,True,0-2,3,cividale del friuli,true
age_46_52,DEU,13409,13,,STANDARD,,,,,,,@web.de_TEMP2157,False,False,DEU       ,,true,False,,NULL,True,True,0-2,,Berlin,true
age_32_38,DZA,03011,03,,,,,,,,,@gmail.com,False,True,ESP       ,DZA,false,False,DZA,False,NULL,False,12+,,ALICANTE,true
age_39_45,ITA,95140,95,FREELANCER,,FINANCIAL_SERVICES,EMPLOYMENT,,,,,@gmail.com,False,True,FRA       ,FRA,true,False,FRA,True,True,False,0-2,3,Garges-les-Gonesse,true
age_32_38,FRA,83400,83,,STANDARD,,,,,,,@gmail.com,False,False,FRA       ,,true,False,FRA,True,True,True,0-2,,Hyères,true
age_18_24,FRA,74100,74,TRAINEE,,,,,,,,@n26.com,False,True,FRA       ,,true,False,,NULL,True,True,0-2,,Annemasse,true
